Time,Source,Destination,Protocol,Length,Source Port,Destination Port,bad_packet
18.649914135,192.167.5.35,192.232.16.204,TCP,54,57912.0,443.0,0
3.639137438,192.232.16.204,192.167.5.35,TCP,1514,443.0,57914.0,0
28.933977567,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
3.62823004,192.232.16.204,192.167.5.35,TCP,1514,443.0,57914.0,0
23.939634342,192.167.5.35,192.232.16.204,TCP,54,57912.0,443.0,0
8.844853409,192.167.5.35,192.232.16.204,TCP,54,57912.0,443.0,0
20.461770628,192.167.5.35,192.167.5.22,ICMP,42,,,1
35.22558716,192.167.5.35,192.167.5.22,ICMP,42,,,1
3.759633047,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
7.667976708,142.251.32.14,192.167.5.35,TCP,60,443.0,49734.0,0
13.956125672,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
14.030089065,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
20.734223003,192.167.5.35,142.251.32.14,TLSv1.2,752,49734.0,443.0,0
20.211998978,192.167.5.35,192.167.5.22,ICMP,42,,,1
22.413807256,192.167.5.35,192.167.5.22,ICMP,42,,,1
20.184063825,192.167.5.35,192.167.5.22,ICMP,42,,,1
28.810438568,192.167.5.35,192.232.16.204,TCP,54,57914.0,443.0,0
3.647626683,192.167.5.35,192.232.16.204,TCP,54,57912.0,443.0,0
23.873743359,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
11.895801868,142.251.32.14,192.167.5.35,TCP,60,443.0,49734.0,0
28.850795277,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
28.81714726,192.167.5.35,192.232.16.204,TCP,54,57914.0,443.0,0
28.836073657,192.232.16.204,192.167.5.35,TCP,1514,443.0,57914.0,0
29.290095923,192.167.5.35,192.167.5.22,ICMP,42,,,1
18.85671393,192.167.5.22,192.167.5.35,ICMP,60,,,0
33.887113432,192.167.5.35,192.167.5.22,ICMP,42,,,1
18.617541183,192.167.5.35,192.232.16.204,TCP,54,57914.0,443.0,0
18.758901505,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
3.696588538,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
26.226288336,192.167.5.35,192.167.5.22,ICMP,42,,,1
3.696684478,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
28.824201372,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
8.826907468,192.232.16.204,192.167.5.35,TCP,1514,443.0,57914.0,0
18.852017832,192.167.5.22,192.167.5.35,ICMP,60,,,0
33.776151679,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
19.968100843,192.167.1.235,192.167.255.255,NBNS,92,137.0,137.0,0
16.997262276,142.251.32.14,192.167.5.35,TLSv1.2,93,443.0,49734.0,0
14.022412065,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
29.010275155,192.167.5.35,192.232.16.204,TLSv1.2,1682,57912.0,443.0,0
8.79402023,192.167.5.35,192.167.5.22,ICMP,98,,,0
33.744893806,192.167.5.35,192.232.16.204,TCP,54,57912.0,443.0,0
3.698906114,192.167.5.35,192.232.16.204,TCP,54,57912.0,443.0,0
13.943674524,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
18.880586186,192.167.5.22,192.167.5.35,ICMP,60,,,0
13.093078303,142.251.32.14,192.167.5.35,TCP,60,443.0,49734.0,0
31.174937505,192.167.5.35,192.167.5.22,ICMP,42,,,1
33.505920811,192.167.5.35,192.167.5.22,ICMP,42,,,1
23.947063417,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
18.878790015,192.167.5.22,192.167.5.35,ICMP,60,,,0
26.731747805,192.167.5.35,192.167.5.22,ICMP,42,,,1
3.687230565,192.167.5.35,192.232.16.204,TCP,54,57912.0,443.0,0
18.858882569,192.167.5.22,192.167.5.35,ICMP,60,,,0
28.896300644,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
18.869307017,192.167.5.22,192.167.5.35,ICMP,60,,,0
34.500325649,142.251.32.14,192.167.5.35,TLSv1.2,93,443.0,49734.0,0
33.957005811,192.167.5.35,192.167.5.22,ICMP,42,,,1
18.881432144,192.167.5.22,192.167.5.35,ICMP,60,,,0
1.695413055,142.251.32.14,192.167.5.35,TCP,60,443.0,49734.0,0
30.934740656,192.167.5.35,192.167.5.22,ICMP,42,,,1
32.041563011,192.167.5.35,192.167.5.22,ICMP,42,,,1
18.005471716,VMware_8a:31:5e,Broadcast,ARP,60,,,0
23.8610949,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
22.750136659,142.251.32.14,192.167.5.35,TCP,60,443.0,49734.0,0
28.833168139,192.167.5.35,192.232.16.204,TCP,54,57912.0,443.0,0
33.759356854,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
23.837194509,192.167.5.35,192.232.16.204,TCP,54,57912.0,443.0,0
28.882712156,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
3.687219312,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
18.677027264,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
18.855588729,192.167.5.22,192.167.5.35,ICMP,60,,,0
27.852515314,192.167.5.35,192.167.5.22,ICMP,42,,,1
33.689698714,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
8.84096419,192.167.5.35,192.232.16.204,TCP,54,57914.0,443.0,0
32.474171578,192.167.5.35,192.167.5.22,ICMP,42,,,1
25.113874898,192.167.5.35,192.167.5.22,ICMP,98,,,0
8.838594904,192.232.16.204,192.167.5.35,TCP,1514,443.0,57914.0,0
18.857247218,192.167.5.22,192.167.5.35,ICMP,60,,,0
28.931319304,192.167.5.35,192.232.16.204,TCP,54,57912.0,443.0,0
18.873012683,192.167.5.22,192.167.5.35,ICMP,60,,,0
35.014677365,192.167.5.35,192.167.5.22,ICMP,42,,,1
14.755453773,VMware_8a:b2:34,Broadcast,ARP,60,,,0
12.256077394,VMware_8a:60:5f,Broadcast,ARP,60,,,0
36.020172011,192.167.5.35,192.167.5.22,ICMP,42,,,1
20.257345042,192.167.5.35,192.167.5.22,ICMP,42,,,1
28.854143844,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
30.365822487,192.167.5.35,192.167.5.22,ICMP,42,,,1
8.928920834,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
6.704399467,VMware_8a:4e:1c,Broadcast,ARP,60,,,0
34.329885626,192.167.5.35,192.167.5.22,ICMP,98,,,0
3.684891361,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
30.209971064,192.167.5.35,192.167.5.22,ICMP,42,,,1
28.810454688,192.232.16.204,192.167.5.35,TLSv1.2,596,443.0,57914.0,0
23.542065891,192.167.5.35,192.167.5.22,ICMP,42,,,1
8.842562537,192.167.5.35,192.232.16.204,TCP,54,57912.0,443.0,0
31.364256989,192.167.5.35,192.167.5.22,ICMP,42,,,1
23.858245922,192.167.5.35,192.232.16.204,TCP,54,57912.0,443.0,0
13.96460981,192.167.5.35,192.232.16.204,TCP,54,57912.0,443.0,0
18.880064516,192.167.5.22,192.167.5.35,ICMP,60,,,0
13.912184467,192.232.16.204,192.167.5.35,TLSv1.2,1514,443.0,57912.0,0
33.637305803,192.232.16.204,192.167.5.35,TCP,1514,443.0,57914.0,0
3.757287125,192.167.5.35,192.232.16.204,TCP,54,57912.0,443.0,0
18.626515518,192.232.16.204,192.167.5.35,TCP,1514,443.0,57914.0,0
3.736300501,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
7.69901099,142.251.32.14,192.167.5.35,TLSv1.2,1466,443.0,49734.0,0
14.065626864,192.167.5.35,192.232.16.204,TCP,54,57912.0,443.0,0
19.916312409,192.167.5.35,192.167.5.22,ICMP,42,,,1
33.813719697,192.167.5.35,192.232.16.204,TCP,54,57912.0,443.0,0
13.831980542,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
28.8238482,192.232.16.204,192.167.5.35,TCP,1514,443.0,57914.0,0
18.883122883,192.167.5.22,192.167.5.35,ICMP,60,,,0
13.997095098,192.167.5.35,192.232.16.204,TCP,54,57912.0,443.0,0
13.87152575,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
25.965312178,192.167.5.35,192.167.5.22,ICMP,42,,,1
14.079571083,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
28.910221597,192.167.5.35,192.232.16.204,TCP,54,57912.0,443.0,0
28.914928402,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
19.564350817,192.167.5.35,192.167.5.22,ICMP,42,,,1
18.874653606,192.167.5.22,192.167.5.35,ICMP,60,,,0
18.719191092,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
33.648756133,192.232.16.204,192.167.5.35,TCP,1514,443.0,57914.0,0
3.666460554,192.167.5.35,192.232.16.204,TCP,54,57914.0,443.0,0
23.846593893,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
23.909682205,192.167.5.35,192.232.16.204,TCP,54,57912.0,443.0,0
28.893959762,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
32.481774381,192.167.5.35,192.167.5.22,ICMP,42,,,1
29.639634812,192.167.5.35,192.167.5.22,ICMP,42,,,1
